,titles,authors,goodreads links
55,The Truth About Twinkie Pie,Kat Yeh,https://www.goodreads.com/book/show/20839543-the-truth-about-twinkie-pie
56,A Handful of Stars,Cynthia Lord,https://www.goodreads.com/book/show/22082059-a-handful-of-stars
57,"Jinx's Fire (Jinx, #3)",Sage Blackwood,https://www.goodreads.com/book/show/22693160-jinx-s-fire
58,"Graceful (Willow Falls, #5)",Wendy Mass,https://www.goodreads.com/book/show/23399295-graceful
59,My Secret Guide to Paris,Lisa Schroeder,https://www.goodreads.com/book/show/22749518-my-secret-guide-to-paris
60,"My Near-Death Adventures (99% True!) (My Near-Death Adventures, #1)",Alison DeCamp,https://www.goodreads.com/book/show/22318393-my-near-death-adventures-99-true
61,The Wolf Wilder,Katherine Rundell,https://www.goodreads.com/book/show/23257157-the-wolf-wilder
62,Thor's Serpents (The Blackwell Pages #3),K.L. Armstrong,https://www.goodreads.com/book/show/17287242-thor-s-serpents
63,"The Stars of Summer (All Four Stars, #2)",Tara Dairman,https://www.goodreads.com/book/show/22914236-the-stars-of-summer
64,Dr. Critchlore's School for Minions,Sheila Grau,https://www.goodreads.com/book/show/23167722-dr-critchlore-s-school-for-minions
65,"Simon Thorn and the Wolf's Den (Simon Thorn, #1)",Aimee Carter,https://www.goodreads.com/book/show/22929613-simon-thorn-and-the-wolf-s-den
66,"The Unmapped Sea (The Incorrigible Children of Ashton Place, #5)",Maryrose Wood,https://www.goodreads.com/book/show/24487837-the-unmapped-sea
67,"The D'Evil Diaries (The D'Evil Diaries, #1)",Tatum Flynn,https://www.goodreads.com/book/show/21939665-the-d-evil-diaries
68,"Of Enemies and Endings (The Ever Afters, #4)",Shelby Bach,https://www.goodreads.com/book/show/17571248-of-enemies-and-endings
69,"The Whisper (The Riverman Trilogy, #2)",Aaron Starmer,https://www.goodreads.com/book/show/21469064-the-whisper
70,Confessions of an Imaginary Friend,Michelle Cuevas,https://www.goodreads.com/book/show/19542845-confessions-of-an-imaginary-friend
71,"Villain Keeper (The Last Dragon Charmer, #1)",Laurie McKay,https://www.goodreads.com/book/show/22249699-villain-keeper
