,rank,title,author,publisher,date,amazon links
0,1,THE PIGEON NEEDS A BATH!,by Mo Willems,Hyperion,"April 20, 2014",http://www.amazon.com/The-Pigeon-Needs-Bath-Willems/dp/1423190874?tag=NYTBSREV-20
1,2,THE DAY THE CRAYONS QUIT,by Drew Daywalt. Illustrated by Oliver Jeffers,Philomel,"April 20, 2014",http://www.amazon.com/The-Crayons-Quit-Drew-Daywalt/dp/0399255370?tag=NYTBSREV-20
2,3,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE",by Sherri Duskey Rinker and Tom Lichtenheld,Chronicle,"April 20, 2014",http://www.amazon.com/Goodnight-Construction-Sherri-Duskey-Rinker/dp/0811877825?tag=NYTBSREV-20
3,4,LOCOMOTIVE,by Brian Floca,Richard Jackson/Atheneum,"April 20, 2014",http://www.amazon.com/Locomotive-Caldecott-Medal-Brian-Floca/dp/1416994157?tag=NYTBSREV-20
4,5,JOURNEY,by Aaron Becker,Candlewick,"April 20, 2014",http://www.amazon.com/Journey-Aaron-Becker/dp/0763660531?tag=NYTBSREV-20
5,6,DRAGONS LOVE TACOS,by Adam Rubin. Illustrated by Daniel Salmieri,Dial,"April 20, 2014",http://www.amazon.com/Dragons-Love-Tacos-Adam-Rubin/dp/0803736800?tag=NYTBSREV-20
6,7,PRESS HERE,by Hervé Tullet,Handprint/Chronicle,"April 20, 2014",http://www.amazon.com/Press-Here-Herve-Tullet/dp/0811879542?tag=NYTBSREV-20
7,8,PETE THE CAT: I LOVE MY WHITE SHOES,by Eric Litwin. Illustrated by James Dean,Harper/HarperCollins,"April 20, 2014",http://www.amazon.com/Pete-Cat-Love-White-Shoes/dp/0061906220?tag=NYTBSREV-20
8,9,MR. WUFFLES!,by David Wiesner,Clarion,"April 20, 2014",http://www.amazon.com/Mr-Wuffles-Caldecott-Medal-Winning/dp/0618756612?tag=NYTBSREV-20
9,10,"ROSIE REVERE, ENGINEER",by Andrea Beaty. Illustrated by David Roberts,Abrams,"April 20, 2014",http://www.amazon.com/Rosie-Revere-Engineer-Andrea-Beaty/dp/1419708457?tag=NYTBSREV-20
10,1,THE DAY THE CRAYONS QUIT,by Drew Daywalt. Illustrated by Oliver Jeffers,Philomel,"April 13, 2014",http://www.amazon.com/The-Crayons-Quit-Drew-Daywalt/dp/0399255370?tag=NYTBSREV-20
11,2,LOCOMOTIVE,by Brian Floca,Richard Jackson/Atheneum,"April 13, 2014",http://www.amazon.com/Locomotive-Caldecott-Medal-Brian-Floca/dp/1416994157?tag=NYTBSREV-20
12,3,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE",by Sherri Duskey Rinker and Tom Lichtenheld,Chronicle,"April 13, 2014",http://www.amazon.com/Goodnight-Construction-Sherri-Duskey-Rinker/dp/0811877825?tag=NYTBSREV-20
13,4,JOURNEY,by Aaron Becker,Candlewick,"April 13, 2014",http://www.amazon.com/Journey-Aaron-Becker/dp/0763660531?tag=NYTBSREV-20
14,5,WHAT DOES THE FOX SAY?,by Ylvis. Illustrated by Svein Nyhus,Simon & Schuster,"April 13, 2014",http://www.amazon.com/What-Does-Fox-Say-Ylvis/dp/1481422235?tag=NYTBSREV-20
15,6,DRAGONS LOVE TACOS,by Adam Rubin. Illustrated by Daniel Salmieri,Dial,"April 13, 2014",http://www.amazon.com/Dragons-Love-Tacos-Adam-Rubin/dp/0803736800?tag=NYTBSREV-20
16,7,PRESS HERE,by Hervé Tullet,Handprint/Chronicle,"April 13, 2014",http://www.amazon.com/Press-Here-Herve-Tullet/dp/0811879542?tag=NYTBSREV-20
17,8,PETE THE CAT: I LOVE MY WHITE SHOES,by Eric Litwin. Illustrated by James Dean,Harper/HarperCollins,"April 13, 2014",http://www.amazon.com/Pete-Cat-Love-White-Shoes/dp/0061906220?tag=NYTBSREV-20
18,9,"ROSIE REVERE, ENGINEER",by Andrea Beaty. Illustrated by David Roberts,Abrams,"April 13, 2014",http://www.amazon.com/Rosie-Revere-Engineer-Andrea-Beaty/dp/1419708457?tag=NYTBSREV-20
19,10,"STEAM TRAIN, DREAM TRAIN",by Sherri Duskey Rinker and Tom Lichtenheld,Chronicle,"April 13, 2014",http://www.amazon.com/Steam-Train-Sherri-Duskey-Rinker/dp/1452109206?tag=NYTBSREV-20
20,1,THE DAY THE CRAYONS QUIT,by Drew Daywalt. Illustrated by Oliver Jeffers,Philomel,"March 30, 2014",http://www.amazon.com/The-Crayons-Quit-Drew-Daywalt/dp/0399255370?tag=NYTBSREV-20
21,2,LOCOMOTIVE,by Brian Floca,Richard Jackson/Atheneum,"March 30, 2014",http://www.amazon.com/Locomotive-Caldecott-Medal-Brian-Floca/dp/1416994157?tag=NYTBSREV-20
22,3,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE",by Sherri Duskey Rinker and Tom Lichtenheld,Chronicle,"March 30, 2014",http://www.amazon.com/Goodnight-Construction-Sherri-Duskey-Rinker/dp/0811877825?tag=NYTBSREV-20
23,4,JOURNEY,by Aaron Becker,Candlewick,"March 30, 2014",http://www.amazon.com/Journey-Aaron-Becker/dp/0763660531?tag=NYTBSREV-20
24,5,GOODNIGHT SONGS,by Margaret Wise Brown,Sterling,"March 30, 2014",http://www.amazon.com/Goodnight-Songs-Illustrated-Award-Winning-Picture/dp/1454904461?tag=NYTBSREV-20
25,6,PRESS HERE,by Hervé Tullet,Handprint/Chronicle,"March 30, 2014",http://www.amazon.com/Press-Here-Herve-Tullet/dp/0811879542?tag=NYTBSREV-20
26,7,"ROSIE REVERE, ENGINEER",by Andrea Beaty. Illustrated by David Roberts,Abrams,"March 30, 2014",http://www.amazon.com/Rosie-Revere-Engineer-Andrea-Beaty/dp/1419708457?tag=NYTBSREV-20
27,8,DRAGONS LOVE TACOS,by Adam Rubin. Illustrated by Daniel Salmieri,Dial,"March 30, 2014",http://www.amazon.com/Dragons-Love-Tacos-Adam-Rubin/dp/0803736800?tag=NYTBSREV-20
28,9,WHAT DOES THE FOX SAY?,by Ylvis. Illustrated by Svein Nyhus,Simon & Schuster,"March 30, 2014",http://www.amazon.com/What-Does-Fox-Say-Ylvis/dp/1481422235?tag=NYTBSREV-20
29,10,"HI, KOO!",by Jon J. Muth,Scholastic,"March 30, 2014",http://www.amazon.com/Hi-Koo-A-Year-Seasons/dp/0545166683?tag=NYTBSREV-20
30,1,THE DAY THE CRAYONS QUIT,by Drew Daywalt. Illustrated by Oliver Jeffers,Philomel,"March 16, 2014",http://www.amazon.com/The-Crayons-Quit-Drew-Daywalt/dp/0399255370?tag=NYTBSREV-20
31,2,LOCOMOTIVE,by Brian Floca,Richard Jackson/Atheneum,"March 16, 2014",http://www.amazon.com/Locomotive-Caldecott-Medal-Brian-Floca/dp/1416994157?tag=NYTBSREV-20
32,3,JOURNEY,by Aaron Becker,Candlewick,"March 16, 2014",http://www.amazon.com/Journey-Aaron-Becker/dp/0763660531?tag=NYTBSREV-20
33,4,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE",by Sherri Duskey Rinker and Tom Lichtenheld,Chronicle,"March 16, 2014",http://www.amazon.com/Goodnight-Construction-Sherri-Duskey-Rinker/dp/0811877825?tag=NYTBSREV-20
34,5,WHAT DOES THE FOX SAY?,by Ylvis. Illustrated by Svein Nyhus,Simon & Schuster,"March 16, 2014",http://www.amazon.com/What-Does-Fox-Say-Ylvis/dp/1481422235?tag=NYTBSREV-20
35,6,PRESS HERE,by Hervé Tullet,Handprint/Chronicle,"March 16, 2014",http://www.amazon.com/Press-Here-Herve-Tullet/dp/0811879542?tag=NYTBSREV-20
36,7,PETE THE CAT: I LOVE MY WHITE SHOES,by Eric Litwin. Illustrated by James Dean,Harper/HarperCollins,"March 16, 2014",http://www.amazon.com/Pete-Cat-Love-White-Shoes/dp/0061906220?tag=NYTBSREV-20
37,8,DRAGONS LOVE TACOS,by Adam Rubin. Illustrated by Daniel Salmieri,Dial,"March 16, 2014",http://www.amazon.com/Dragons-Love-Tacos-Adam-Rubin/dp/0803736800?tag=NYTBSREV-20
38,9,"STEAM TRAIN, DREAM TRAIN",by Sherri Duskey Rinker and Tom Lichtenheld,Chronicle,"March 16, 2014",http://www.amazon.com/Steam-Train-Sherri-Duskey-Rinker/dp/1452109206?tag=NYTBSREV-20
39,10,"ROSIE REVERE, ENGINEER",by Andrea Beaty. Illustrated by David Roberts,Abrams,"March 16, 2014",http://www.amazon.com/Rosie-Revere-Engineer-Andrea-Beaty/dp/1419708457?tag=NYTBSREV-20
40,1,THE DAY THE CRAYONS QUIT,by Drew Daywalt. Illustrated by Oliver Jeffers,Philomel,"March 2, 2014",http://www.amazon.com/The-Crayons-Quit-Drew-Daywalt/dp/0399255370?tag=NYTBSREV-20
41,2,"I'D KNOW YOU ANYWHERE, MY LOVE",by Nancy Tillman,Feiwel & Friends,"March 2, 2014",http://www.amazon.com/Id-Know-You-Anywhere-Love/dp/0312553684?tag=NYTBSREV-20
42,3,LOCOMOTIVE,by Brian Floca,Richard Jackson/Atheneum,"March 2, 2014",http://www.amazon.com/Locomotive-Caldecott-Medal-Brian-Floca/dp/1416994157?tag=NYTBSREV-20
43,4,JOURNEY,by Aaron Becker,Candlewick,"March 2, 2014",http://www.amazon.com/Journey-Aaron-Becker/dp/0763660531?tag=NYTBSREV-20
44,5,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE",by Sherri Duskey Rinker and Tom Lichtenheld,Chronicle,"March 2, 2014",http://www.amazon.com/Goodnight-Construction-Sherri-Duskey-Rinker/dp/0811877825?tag=NYTBSREV-20
