,rank,title,author,publisher,date,amazon links
45,6,WHAT DOES THE FOX SAY?,by Ylvis. Illustrated by Svein Nyhus,Simon & Schuster,"March 2, 2014",http://www.amazon.com/What-Does-Fox-Say-Ylvis/dp/1481422235?tag=NYTBSREV-20
46,7,PRESS HERE,by Hervé Tullet,Handprint/Chronicle,"March 2, 2014",http://www.amazon.com/Press-Here-Herve-Tullet/dp/0811879542?tag=NYTBSREV-20
47,8,MR. WUFFLES!,by David Wiesner,Clarion,"March 2, 2014",http://www.amazon.com/Mr-Wuffles-Caldecott-Medal-Winning/dp/0618756612?tag=NYTBSREV-20
48,9,"STEAM TRAIN, DREAM TRAIN",by Sherri Duskey Rinker and Tom Lichtenheld,Chronicle,"March 2, 2014",http://www.amazon.com/Steam-Train-Sherri-Duskey-Rinker/dp/1452109206?tag=NYTBSREV-20
49,10,PETE THE CAT: I LOVE MY WHITE SHOES,by Eric Litwin. Illustrated by James Dean,Harper/HarperCollins,"March 2, 2014",http://www.amazon.com/Pete-Cat-Love-White-Shoes/dp/0061906220?tag=NYTBSREV-20
50,1,THE DAY THE CRAYONS QUIT,by Drew Daywalt. Illustrated by Oliver Jeffers,Philomel,"February 23, 2014",http://www.amazon.com/The-Crayons-Quit-Drew-Daywalt/dp/0399255370?tag=NYTBSREV-20
51,2,JOURNEY,by Aaron Becker,Candlewick,"February 23, 2014",http://www.amazon.com/Journey-Aaron-Becker/dp/0763660531?tag=NYTBSREV-20
52,3,"I'D KNOW YOU ANYWHERE, MY LOVE",by Nancy Tillman,Feiwel & Friends,"February 23, 2014",http://www.amazon.com/Id-Know-You-Anywhere-Love/dp/0312553684?tag=NYTBSREV-20
53,4,FOUNDING MOTHERS,by Cokie Roberts. Illustrated by Diane Goode,HarperCollins Publishers,"February 23, 2014",http://www.amazon.com/Founding-Mothers-Remembering-Cokie-Roberts/dp/0060780029?tag=NYTBSREV-20
54,5,LOCOMOTIVE,by Brian Floca,Richard Jackson/Atheneum,"February 23, 2014",http://www.amazon.com/Locomotive-Caldecott-Medal-Brian-Floca/dp/1416994157?tag=NYTBSREV-20
55,6,MR. WUFFLES!,by David Wiesner,Clarion,"February 23, 2014",http://www.amazon.com/Mr-Wuffles-Caldecott-Medal-Winning/dp/0618756612?tag=NYTBSREV-20
56,7,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE",by Sherri Duskey Rinker and Tom Lichtenheld,Chronicle,"February 23, 2014",http://www.amazon.com/Goodnight-Construction-Sherri-Duskey-Rinker/dp/0811877825?tag=NYTBSREV-20
57,8,WHAT DOES THE FOX SAY?,by Ylvis. Illustrated by Svein Nyhus,Simon & Schuster,"February 23, 2014",http://www.amazon.com/What-Does-Fox-Say-Ylvis/dp/1481422235?tag=NYTBSREV-20
58,9,MR. TIGER GOES WILD,by Peter Brown,"Little, Brown","February 23, 2014",http://www.amazon.com/Tiger-Goes-Boston-Globe-Horn-Awards/dp/0316200638?tag=NYTBSREV-20
59,10,PRESS HERE,by Hervé Tullet,Handprint/Chronicle,"February 23, 2014",http://www.amazon.com/Press-Here-Herve-Tullet/dp/0811879542?tag=NYTBSREV-20
60,1,THE DAY THE CRAYONS QUIT,by Drew Daywalt. Illustrated by Oliver Jeffers,Philomel,"February 16, 2014",http://www.amazon.com/The-Crayons-Quit-Drew-Daywalt/dp/0399255370?tag=NYTBSREV-20
61,2,LOCOMOTIVE,by Brian Floca,Richard Jackson/Atheneum,"February 16, 2014",http://www.amazon.com/Locomotive-Caldecott-Medal-Brian-Floca/dp/1416994157?tag=NYTBSREV-20
62,3,FOUNDING MOTHERS,by Cokie Roberts. Illustrated by Diane Goode,HarperCollins Publishers,"February 16, 2014",http://www.amazon.com/Founding-Mothers-Remembering-Cokie-Roberts/dp/0060780029?tag=NYTBSREV-20
63,4,JOURNEY,by Aaron Becker,Candlewick,"February 16, 2014",http://www.amazon.com/Journey-Aaron-Becker/dp/0763660531?tag=NYTBSREV-20
64,5,WHAT DOES THE FOX SAY?,by Ylvis. Illustrated by Svein Nyhus,Simon & Schuster,"February 16, 2014",http://www.amazon.com/What-Does-Fox-Say-Ylvis/dp/1481422235?tag=NYTBSREV-20
65,6,MR. WUFFLES!,by David Wiesner,Clarion,"February 16, 2014",http://www.amazon.com/Mr-Wuffles-Caldecott-Medal-Winning/dp/0618756612?tag=NYTBSREV-20
66,7,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE",by Sherri Duskey Rinker and Tom Lichtenheld,Chronicle,"February 16, 2014",http://www.amazon.com/Goodnight-Construction-Sherri-Duskey-Rinker/dp/0811877825?tag=NYTBSREV-20
67,8,"ROSIE REVERE, ENGINEER",by Andrea Beaty. Illustrated by David Roberts,Abrams,"February 16, 2014",http://www.amazon.com/Rosie-Revere-Engineer-Andrea-Beaty/dp/1419708457?tag=NYTBSREV-20
68,9,MR. TIGER GOES WILD,by Peter Brown,"Little, Brown","February 16, 2014",http://www.amazon.com/Tiger-Goes-Boston-Globe-Horn-Awards/dp/0316200638?tag=NYTBSREV-20
69,10,I AM ABRAHAM LINCOLN,by Brad Meltzer. Illustrated by Christopher Eliopoulos,Dial,"February 16, 2014",http://www.amazon.com/Abraham-Lincoln-Ordinary-People-Change/dp/0803740832?tag=NYTBSREV-20
70,1,THE DAY THE CRAYONS QUIT,by Drew Daywalt. Illustrated by Oliver Jeffers,Philomel,"February 9, 2014",http://www.amazon.com/The-Crayons-Quit-Drew-Daywalt/dp/0399255370?tag=NYTBSREV-20
71,2,WHAT DOES THE FOX SAY?,by Ylvis. Illustrated by Svein Nyhus,Simon & Schuster,"February 9, 2014",http://www.amazon.com/What-Does-Fox-Say-Ylvis/dp/1481422235?tag=NYTBSREV-20
72,3,I AM ABRAHAM LINCOLN,by Brad Meltzer. Illustrated by Christopher Eliopoulos,Dial,"February 9, 2014",http://www.amazon.com/Abraham-Lincoln-Ordinary-People-Change/dp/0803740832?tag=NYTBSREV-20
73,4,I AM AMELIA EARHART,by Brad Meltzer. Illustrated by Christopher Eliopoulos,Dial,"February 9, 2014",http://www.amazon.com/Amelia-Earhart-Ordinary-People-Change/dp/0803740824?tag=NYTBSREV-20
74,5,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE",by Sherri Duskey Rinker and Tom Lichtenheld,Chronicle,"February 9, 2014",http://www.amazon.com/Goodnight-Construction-Sherri-Duskey-Rinker/dp/0811877825?tag=NYTBSREV-20
75,6,JOURNEY,by Aaron Becker,Candlewick,"February 9, 2014",http://www.amazon.com/Journey-Aaron-Becker/dp/0763660531?tag=NYTBSREV-20
76,7,PRESS HERE,by Hervé Tullet,Handprint/Chronicle,"February 9, 2014",http://www.amazon.com/Press-Here-Herve-Tullet/dp/0811879542?tag=NYTBSREV-20
77,8,PETE THE CAT: I LOVE MY WHITE SHOES,by Eric Litwin. Illustrated by James Dean,Harper/HarperCollins,"February 9, 2014",http://www.amazon.com/Pete-Cat-Love-White-Shoes/dp/0061906220?tag=NYTBSREV-20
78,9,"STEAM TRAIN, DREAM TRAIN",by Sherri Duskey Rinker and Tom Lichtenheld,Chronicle,"February 9, 2014",http://www.amazon.com/Steam-Train-Sherri-Duskey-Rinker/dp/1452109206?tag=NYTBSREV-20
79,10,I'M A FROG!,by Mo Willems,Hyperion Press,"February 9, 2014",http://www.amazon.com/Im-Frog-Elephant-Piggie-Book/dp/1423183053?tag=NYTBSREV-20
80,1,THE DAY THE CRAYONS QUIT,by Drew Daywalt. Illustrated by Oliver Jeffers,Philomel,"February 2, 2014",http://www.amazon.com/The-Crayons-Quit-Drew-Daywalt/dp/0399255370?tag=NYTBSREV-20
81,2,WHAT DOES THE FOX SAY?,by Ylvis. Illustrated by Svein Nyhus,Simon & Schuster,"February 2, 2014",http://www.amazon.com/What-Does-Fox-Say-Ylvis/dp/1481422235?tag=NYTBSREV-20
82,3,I AM ABRAHAM LINCOLN,by Brad Meltzer. Illustrated by Christopher Eliopoulos,Dial,"February 2, 2014",http://www.amazon.com/Abraham-Lincoln-Ordinary-People-Change/dp/0803740832?tag=NYTBSREV-20
83,4,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE",by Sherri Duskey Rinker and Tom Lichtenheld,Chronicle,"February 2, 2014",http://www.amazon.com/Goodnight-Construction-Sherri-Duskey-Rinker/dp/0811877825?tag=NYTBSREV-20
84,5,I AM AMELIA EARHART,by Brad Meltzer. Illustrated by Christopher Eliopoulos,Dial,"February 2, 2014",http://www.amazon.com/Amelia-Earhart-Ordinary-People-Change/dp/0803740824?tag=NYTBSREV-20
85,6,JOURNEY,by Aaron Becker,Candlewick,"February 2, 2014",http://www.amazon.com/Journey-Aaron-Becker/dp/0763660531?tag=NYTBSREV-20
86,7,"STEAM TRAIN, DREAM TRAIN",by Sherri Duskey Rinker and Tom Lichtenheld,Chronicle,"February 2, 2014",http://www.amazon.com/Steam-Train-Sherri-Duskey-Rinker/dp/1452109206?tag=NYTBSREV-20
87,8,PRESS HERE,by Hervé Tullet,Handprint/Chronicle,"February 2, 2014",http://www.amazon.com/Press-Here-Herve-Tullet/dp/0811879542?tag=NYTBSREV-20
88,9,I'M A FROG!,by Mo Willems,Hyperion Press,"February 2, 2014",http://www.amazon.com/Im-Frog-Elephant-Piggie-Book/dp/1423183053?tag=NYTBSREV-20
89,10,PETE THE CAT AND HIS MAGIC SUNGLASSES,by Kimberly and James Dean. Illustrated by James Dean,Harper/HarperCollins,"February 2, 2014",http://www.amazon.com/Pete-Cat-His-Magic-Sunglasses/dp/0062275569?tag=NYTBSREV-20
90,1,WHAT DOES THE FOX SAY?,by Ylvis. Illustrated by Svein Nyhus,Simon & Schuster,"January 19, 2014",http://www.amazon.com/What-Does-Fox-Say-Ylvis/dp/1481422235?tag=NYTBSREV-20
91,2,THE DAY THE CRAYONS QUIT,by Drew Daywalt. Illustrated by Oliver Jeffers,Philomel,"January 19, 2014",http://www.amazon.com/The-Crayons-Quit-Drew-Daywalt/dp/0399255370?tag=NYTBSREV-20
92,3,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE",by Sherri Duskey Rinker and Tom Lichtenheld,Chronicle,"January 19, 2014",http://www.amazon.com/Goodnight-Construction-Sherri-Duskey-Rinker/dp/0811877825?tag=NYTBSREV-20
93,4,PRESS HERE,by Hervé Tullet,Handprint/Chronicle,"January 19, 2014",http://www.amazon.com/Press-Here-Herve-Tullet/dp/0811879542?tag=NYTBSREV-20
94,5,"STEAM TRAIN, DREAM TRAIN",by Sherri Duskey Rinker and Tom Lichtenheld,Chronicle,"January 19, 2014",http://www.amazon.com/Steam-Train-Sherri-Duskey-Rinker/dp/1452109206?tag=NYTBSREV-20
95,6,JOURNEY,by Aaron Becker,Candlewick,"January 19, 2014",http://www.amazon.com/Journey-Aaron-Becker/dp/0763660531?tag=NYTBSREV-20
96,7,PETE THE CAT AND HIS MAGIC SUNGLASSES,by Kimberly and James Dean. Illustrated by James Dean,Harper/HarperCollins,"January 19, 2014",http://www.amazon.com/Pete-Cat-His-Magic-Sunglasses/dp/0062275569?tag=NYTBSREV-20
97,8,MR. WUFFLES!,by David Wiesner,Clarion,"January 19, 2014",http://www.amazon.com/Mr-Wuffles-Caldecott-Medal-Winning/dp/0618756612?tag=NYTBSREV-20
98,9,PETE THE CAT AND HIS FOUR GROOVY BUTTONS,by Eric Litwin. Illustrated by James Dean,Harper/HarperCollins,"January 19, 2014",http://www.amazon.com/Pete-Cat-Four-Groovy-Buttons/dp/0062110586?tag=NYTBSREV-20
99,10,FRIENDS,by Eric Carle,Philomel,"January 19, 2014",http://www.amazon.com/Friends-Eric-Carle/dp/0399165339?tag=NYTBSREV-20
100,1,WHAT DOES THE FOX SAY?,by Ylvis. Illustrated by Svein Nyhus,Simon & Schuster,"January 12, 2014",http://www.amazon.com/What-Does-Fox-Say-Ylvis/dp/1481422235?tag=NYTBSREV-20
101,2,THE DAY THE CRAYONS QUIT,by Drew Daywalt. Illustrated by Oliver Jeffers,Philomel,"January 12, 2014",http://www.amazon.com/The-Crayons-Quit-Drew-Daywalt/dp/0399255370?tag=NYTBSREV-20
102,3,THE NIGHT BEFORE CHRISTMAS,by Clement C. Moore. Various illustrators,Various publishers,"January 12, 2014",http://www.amazon.com/Night-Before-Christmas-Little-Golden/dp/030796003X?tag=NYTBSREV-20
103,4,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE",by Sherri Duskey Rinker and Tom Lichtenheld,Chronicle,"January 12, 2014",http://www.amazon.com/Goodnight-Construction-Sherri-Duskey-Rinker/dp/0811877825?tag=NYTBSREV-20
104,5,"I'D KNOW YOU ANYWHERE, MY LOVE",by Nancy Tillman,Feiwel & Friends,"January 12, 2014",http://www.amazon.com/Id-Know-You-Anywhere-Love/dp/0312553684?tag=NYTBSREV-20
105,6,AN OTIS CHRISTMAS,by Loren Long,Philomel,"January 12, 2014",http://www.amazon.com/An-Otis-Christmas-Loren-Long/dp/0399163956?tag=NYTBSREV-20
106,7,PETE THE CAT: I LOVE MY WHITE SHOES,by Eric Litwin. Illustrated by James Dean,Harper/HarperCollins,"January 12, 2014",http://www.amazon.com/Pete-Cat-Love-White-Shoes/dp/0061906220?tag=NYTBSREV-20
107,8,JOURNEY,by Aaron Becker,Candlewick,"January 12, 2014",http://www.amazon.com/Journey-Aaron-Becker/dp/0763660531?tag=NYTBSREV-20
108,9,PETE THE CAT AND HIS MAGIC SUNGLASSES,by Kimberly and James Dean. Illustrated by James Dean,Harper/HarperCollins,"January 12, 2014",http://www.amazon.com/Pete-Cat-His-Magic-Sunglasses/dp/0062275569?tag=NYTBSREV-20
109,10,PRESS HERE,by Hervé Tullet,Handprint/Chronicle,"January 12, 2014",http://www.amazon.com/Press-Here-Herve-Tullet/dp/0811879542?tag=NYTBSREV-20
110,1,WHAT DOES THE FOX SAY?,by Ylvis. Illustrated by Svein Nyhus,Simon & Schuster,"January 5, 2014",http://www.amazon.com/What-Does-Fox-Say-Ylvis/dp/1481422235?tag=NYTBSREV-20
111,2,THE DAY THE CRAYONS QUIT,by Drew Daywalt. Illustrated by Oliver Jeffers,Philomel,"January 5, 2014",http://www.amazon.com/The-Crayons-Quit-Drew-Daywalt/dp/0399255370?tag=NYTBSREV-20
112,3,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE",by Sherri Duskey Rinker and Tom Lichtenheld,Chronicle,"January 5, 2014",http://www.amazon.com/Goodnight-Construction-Sherri-Duskey-Rinker/dp/0811877825?tag=NYTBSREV-20
113,4,THE NIGHT BEFORE CHRISTMAS,by Clement C. Moore. Various illustrators,Various publishers,"January 5, 2014",http://www.amazon.com/Night-Before-Christmas-Little-Golden/dp/030796003X?tag=NYTBSREV-20
114,5,"I'D KNOW YOU ANYWHERE, MY LOVE",by Nancy Tillman,Feiwel & Friends,"January 5, 2014",http://www.amazon.com/Id-Know-You-Anywhere-Love/dp/0312553684?tag=NYTBSREV-20
115,6,JOURNEY,by Aaron Becker,Candlewick,"January 5, 2014",http://www.amazon.com/Journey-Aaron-Becker/dp/0763660531?tag=NYTBSREV-20
116,7,PETE THE CAT: I LOVE MY WHITE SHOES,by Eric Litwin. Illustrated by James Dean,Harper/HarperCollins,"January 5, 2014",http://www.amazon.com/Pete-Cat-Love-White-Shoes/dp/0061906220?tag=NYTBSREV-20
117,8,PETE THE CAT SAVES CHRISTMAS,by Eric Litwin. Illustrated by James Dean,Harper/HarperCollins,"January 5, 2014",http://www.amazon.com/Pete-Saves-Christmas-James-Dean/dp/0062110624?tag=NYTBSREV-20
118,9,DRAGONS LOVE TACOS,by Adam Rubin. Illustrated by Daniel Salmieri,Dial,"January 5, 2014",http://www.amazon.com/Dragons-Love-Tacos-Adam-Rubin/dp/0803736800?tag=NYTBSREV-20
119,10,"STEAM TRAIN, DREAM TRAIN",by Sherri Duskey Rinker and Tom Lichtenheld,Chronicle,"January 5, 2014",http://www.amazon.com/Steam-Train-Sherri-Duskey-Rinker/dp/1452109206?tag=NYTBSREV-20
120,1,WHAT DOES THE FOX SAY?,by Ylvis. Illustrated by Svein Nyhus,Simon & Schuster,"December 29, 2013",http://www.amazon.com/What-Does-Fox-Say-Ylvis/dp/1481422235?tag=NYTBSREV-20
121,2,THE DAY THE CRAYONS QUIT,by Drew Daywalt. Illustrated by Oliver Jeffers,Philomel,"December 29, 2013",http://www.amazon.com/The-Crayons-Quit-Drew-Daywalt/dp/0399255370?tag=NYTBSREV-20
122,3,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE",by Sherri Duskey Rinker and Tom Lichtenheld,Chronicle,"December 29, 2013",http://www.amazon.com/Goodnight-Construction-Sherri-Duskey-Rinker/dp/0811877825?tag=NYTBSREV-20
123,4,THE NIGHT BEFORE CHRISTMAS,by Clement C. Moore. Various illustrators,Various publishers,"December 29, 2013",http://www.amazon.com/Night-Before-Christmas-Little-Golden/dp/030796003X?tag=NYTBSREV-20
124,5,"STEAM TRAIN, DREAM TRAIN",by Sherri Duskey Rinker and Tom Lichtenheld,Chronicle,"December 29, 2013",http://www.amazon.com/Steam-Train-Sherri-Duskey-Rinker/dp/1452109206?tag=NYTBSREV-20
125,6,LLAMA LLAMA AND THE BULLY GOAT,by Anna Dewdney,Viking,"December 29, 2013",http://www.amazon.com/Llama-Bully-Goat-Anna-Dewdney/dp/0670013951?tag=NYTBSREV-20
126,7,PETE THE CAT SAVES CHRISTMAS,by Eric Litwin. Illustrated by James Dean,Harper/HarperCollins,"December 29, 2013",http://www.amazon.com/Pete-Saves-Christmas-James-Dean/dp/0062110624?tag=NYTBSREV-20
127,8,PETE THE CAT: I LOVE MY WHITE SHOES,by Eric Litwin. Illustrated by James Dean,Harper/HarperCollins,"December 29, 2013",http://www.amazon.com/Pete-Cat-Love-White-Shoes/dp/0061906220?tag=NYTBSREV-20
128,9,"ROSIE REVERE, ENGINEER",by Andrea Beaty. Illustrated by David Roberts,Abrams,"December 29, 2013",http://www.amazon.com/Rosie-Revere-Engineer-Andrea-Beaty/dp/1419708457?tag=NYTBSREV-20
129,10,"I'D KNOW YOU ANYWHERE, MY LOVE",by Nancy Tillman,Feiwel & Friends,"December 29, 2013",http://www.amazon.com/Id-Know-You-Anywhere-Love/dp/0312553684?tag=NYTBSREV-20
