,rank,title,author,publisher,date,amazon links
0,1,I WISH YOU MORE,by Amy Krouse Rosenthal. Illustrated by Tom Lichtenheld,Chronicle,4-Jun-23,http://www.amazon.com/Wish-You-More-Krouse-Rosenthal/dp/1452126992?tag=NYTBSREV-20
1,2,THE WONDERFUL THINGS YOU WILL BE,by Emily Winfield Martin,Random House,4-Jun-23,http://www.amazon.com/The-Wonderful-Things-You-Will/dp/0385376715?tag=NYTBSREV-20
2,3,DRAGONS LOVE TACOS,by Adam Rubin. Illustrated by Daniel Salmieri,Dial,4-Jun-23,http://www.amazon.com/Dragons-Love-Tacos-Adam-Rubin/dp/0803736800?tag=NYTBSREV-20
3,4,THE DAY THE CRAYONS QUIT,by Drew Daywalt. Illustrated by Oliver Jeffers,Philomel,4-Jun-23,http://www.amazon.com/The-Crayons-Quit-Drew-Daywalt/dp/0399255370?tag=NYTBSREV-20
4,5,THE CRAYONS GO BACK TO SCHOOL,by Drew Daywalt. Illustrated by Oliver Jeffers,Philomel,4-Jun-23,https://www.amazon.com/dp/0593621115?tag=NYTBSREV-20
5,6,WOO HOO! YOU'RE DOING GREAT!,by Sandra Boynton,"Little, Brown",4-Jun-23,https://www.amazon.com/dp/0316486795?tag=NYTBSREV-20
6,7,BECAUSE I HAD A TEACHER,by Kobi Yamada. Illustrated by Natalie Russell,Compendium,4-Jun-23,https://www.amazon.com/Because-Had-Teacher-teachers-everywhere/dp/1943200084?tag=NYTBSREV-20
7,8,I LOVE DAD WITH THE VERY HUNGRY CATERPILLAR,by Eric Carle,Grosset & Dunlap,4-Jun-23,https://www.amazon.com/Love-Hungry-Caterpillar-World-Carle/dp/152478589X?tag=NYTBSREV-20
8,9,THE BOOK WITH NO PICTURES,by B.J. Novak,Dial,4-Jun-23,http://www.amazon.com/The-Book-Pictures-B-J-Novak/dp/0803741715?tag=NYTBSREV-20
9,10,A DAY WITH NO WORDS,by Tiffany Hammond. Illustrated by Kate Cosgrove,Wheat Penny,4-Jun-23,https://www.amazon.com/dp/1736949799?tag=NYTBSREV-20
10,1,A DAY WITH NO WORDS,by Tiffany Hammond. Illustrated by Kate Cosgrove,Wheat Penny,28-May-23,https://www.amazon.com/dp/1736949799?tag=NYTBSREV-20
11,2,I LOVE MOM WITH THE VERY HUNGRY CATERPILLAR,by Eric Carle,Grosset & Dunlap,28-May-23,https://www.amazon.com/Love-Hungry-Caterpillar-World-Carle/dp/0451533461?tag=NYTBSREV-20
12,3,WHY A SON NEEDS A MOM,by Gregory E. Lang. Illustrated by Gail Yerrill,Sourcebooks Wonderland,28-May-23,https://www.amazon.com/dp/1728235847?tag=NYTBSREV-20
13,4,BECAUSE I HAD A TEACHER,by Kobi Yamada. Illustrated by Natalie Russell,Compendium,28-May-23,https://www.amazon.com/Because-Had-Teacher-teachers-everywhere/dp/1943200084?tag=NYTBSREV-20
14,5,THE WONDERFUL THINGS YOU WILL BE,by Emily Winfield Martin,Random House,28-May-23,http://www.amazon.com/The-Wonderful-Things-You-Will/dp/0385376715?tag=NYTBSREV-20
