,rank,title,author,publisher,date,amazon links
3408,9,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE",by Sherri Duskey Rinker and Tom Lichtenheld,Chronicle,"August 21, 2016",http://www.amazon.com/Goodnight-Construction-Sherri-Duskey-Rinker/dp/0811877825?tag=NYTBSREV-20
3409,10,WHAT DO YOU DO WITH AN IDEA?,by Kobi Yamada. Illustrated by Mae Besom,Compendium,"August 21, 2016",http://www.amazon.com/What-Do-You-Idea/dp/1938298071?tag=NYTBSREV-20
3410,1,THE THANK YOU BOOK,by Mo Willems,Hyperion,"August 14, 2016",http://www.amazon.com/The-Thank-Book-Elephant-Piggie/dp/1423178289?tag=NYTBSREV-20
3411,2,WHAT DO YOU DO WITH A PROBLEM?,by Kobi Yamada. Illustrated by Mae Besom,Compendium,"August 14, 2016",http://www.amazon.com/What-Do-You-Problem/dp/1943200009?tag=NYTBSREV-20
3412,3,ARE WE THERE YET?,by Dan Santat,"Little, Brown","August 14, 2016",http://www.amazon.com/Are-There-Yet-Dan-Santat/dp/0316199990?tag=NYTBSREV-20
3413,4,DRAGONS LOVE TACOS,by Adam Rubin. Illustrated by Daniel Salmieri,Dial,"August 14, 2016",http://www.amazon.com/Dragons-Love-Tacos-Adam-Rubin/dp/0803736800?tag=NYTBSREV-20
3414,5,THE BOOK WITH NO PICTURES,by B.J. Novak,Dial,"August 14, 2016",http://www.amazon.com/The-Book-Pictures-B-J-Novak/dp/0803741715?tag=NYTBSREV-20
3415,6,THE DAY THE CRAYONS QUIT,by Drew Daywalt. Illustrated by Oliver Jeffers,Philomel,"August 14, 2016",http://www.amazon.com/The-Crayons-Quit-Drew-Daywalt/dp/0399255370?tag=NYTBSREV-20
3416,7,THE WONDERFUL THINGS YOU WILL BE,by Emily Winfield Martin,Random House,"August 14, 2016",http://www.amazon.com/The-Wonderful-Things-You-Will/dp/0385376715?tag=NYTBSREV-20
3417,8,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE",by Sherri Duskey Rinker and Tom Lichtenheld,Chronicle,"August 14, 2016",http://www.amazon.com/Goodnight-Construction-Sherri-Duskey-Rinker/dp/0811877825?tag=NYTBSREV-20
